Date,High,Low,Open,Close
2017-12-22,85.50,83.75,84.00,85.25
2017-12-25,87.00,85.00,85.50,85.25
2017-12-26,86.50,84.50,85.25,86.25
2017-12-27,86.75,85.50,86.50,85.75 
2017-12-28,85.50,84.00,85.25,85.00
2017-12-29,85.25,84.50,85.00,85.00
