date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-08-15 10:00:00.024298,17.8 | 1673.6,17.7 | 1294.7,17.6 | 2114.6,17.5 | 1987.9,17.4 | 712.6,17.9 | 605.9,18.0 | 1531.3,18.1 | 1189.9,18.2 | 1863.7,18.3 | 1149.0
2022-08-15 10:01:00.067169,17.8 | 1661.5,17.7 | 1295.2,17.6 | 2131.6,17.5 | 1708.9,17.4 | 712.9,17.9 | 865.3,18.0 | 1577.9,18.1 | 1193.9,18.2 | 1840.0,18.3 | 1166.1
2022-08-15 10:02:00.059343,17.8 | 1697.8,17.7 | 1705.2,17.6 | 2131.6,17.5 | 1719.0,17.4 | 713.0,17.9 | 846.1,18.0 | 1413.3,18.1 | 1191.9,18.2 | 1828.0,18.3 | 1167.1
2022-08-15 10:03:00.055392,17.8 | 1778.6,17.7 | 1705.2,17.6 | 2132.9,17.5 | 1721.5,17.4 | 715.0,17.9 | 906.0,18.0 | 1476.4,18.1 | 1321.3,18.2 | 1968.1,18.3 | 1167.1
2022-08-15 10:04:00.057484,17.8 | 1790.4,17.7 | 1712.6,17.6 | 2152.3,17.5 | 1843.5,17.4 | 721.1,17.9 | 989.2,18.0 | 1486.7,18.1 | 1327.3,18.2 | 1969.3,18.3 | 1167.1
2022-08-15 10:05:00.056225,17.8 | 1767.0,17.7 | 1714.6,17.6 | 1952.7,17.5 | 1673.7,17.4 | 712.4,17.9 | 1015.0,18.0 | 1508.4,18.1 | 1327.1,18.2 | 1975.5,18.3 | 1178.1
2022-08-15 10:06:00.052368,17.8 | 383.1,17.7 | 1911.6,17.6 | 1952.7,17.5 | 1683.2,17.4 | 712.4,17.9 | 1145.4,18.0 | 1524.8,18.1 | 1327.2,18.2 | 1969.5,18.3 | 1177.1
2022-08-15 10:07:00.067298,17.8 | 843.4,17.7 | 1885.2,17.6 | 2005.6,17.5 | 1684.3,17.4 | 712.4,17.9 | 1218.1,18.0 | 1525.8,18.1 | 1341.5,18.2 | 2072.8,18.3 | 1177.5
2022-08-15 10:08:00.059432,17.8 | 855.3,17.7 | 1954.1,17.6 | 2089.9,17.5 | 1689.5,17.4 | 712.4,17.9 | 1211.6,18.0 | 1543.0,18.1 | 1342.5,18.2 | 2184.3,18.3 | 1164.5
2022-08-15 10:09:00.063506,17.8 | 1884.8,17.7 | 2005.1,17.6 | 2145.6,17.5 | 1689.5,17.4 | 712.4,17.9 | 1220.0,18.0 | 1565.5,18.1 | 1372.4,18.2 | 2180.3,18.3 | 1174.6
2022-08-15 10:10:00.046560,17.9 | 1004.1,17.8 | 2122.7,17.7 | 2008.4,17.6 | 1993.7,17.5 | 1692.5,18.0 | 1570.6,18.1 | 1407.7,18.2 | 2182.3,18.3 | 1274.6,18.4 | 944.5
