date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-08-08 10:00:00.037590,17.1 | 137.9,17.0 | 1174.3,16.9 | 1342.1,16.8 | 1457.2,16.7 | 216.3,17.2 | 656.7,17.3 | 940.3,17.4 | 903.3,17.5 | 646.4,17.6 | 638.0
2022-08-08 10:01:00.068522,17.1 | 96.1,17.0 | 1174.3,16.9 | 1347.2,16.8 | 1470.5,16.7 | 216.3,17.2 | 830.3,17.3 | 1042.3,17.4 | 903.9,17.5 | 646.4,17.6 | 638.0
2022-08-08 10:02:00.050600,17.1 | 207.9,17.0 | 1167.6,16.9 | 1346.2,16.8 | 1471.0,16.7 | 221.3,17.2 | 830.3,17.3 | 1045.4,17.4 | 903.9,17.5 | 566.9,17.6 | 638.5
2022-08-08 10:03:00.053987,17.1 | 208.9,17.0 | 1168.0,16.9 | 1351.2,16.8 | 1481.2,16.7 | 221.3,17.2 | 832.8,17.3 | 1064.4,17.4 | 934.9,17.5 | 570.4,17.6 | 638.9
2022-08-08 10:04:00.065369,17.1 | 202.9,17.0 | 1169.2,16.9 | 1351.2,16.8 | 1481.2,16.7 | 222.8,17.2 | 867.8,17.3 | 1066.8,17.4 | 934.9,17.5 | 569.4,17.6 | 638.9
2022-08-08 10:05:00.064094,17.0 | 967.5,16.9 | 1360.7,16.8 | 1481.9,16.7 | 222.8,16.6 | 462.1,17.1 | 247.4,17.2 | 1025.0,17.3 | 1066.9,17.4 | 694.9,17.5 | 569.4
2022-08-08 10:06:00.066957,17.0 | 964.5,16.9 | 1361.1,16.8 | 1486.5,16.7 | 222.8,16.6 | 462.3,17.1 | 294.3,17.2 | 1025.0,17.3 | 1096.9,17.4 | 694.8,17.5 | 569.4
2022-08-08 10:07:00.069435,17.0 | 968.2,16.9 | 1381.6,16.8 | 1489.8,16.7 | 223.8,16.6 | 463.3,17.1 | 357.7,17.2 | 1084.5,17.3 | 1093.9,17.4 | 694.8,17.5 | 569.4
2022-08-08 10:08:00.059628,17.0 | 985.5,16.9 | 1381.6,16.8 | 1505.5,16.7 | 222.3,16.6 | 463.3,17.1 | 364.8,17.2 | 1105.4,17.3 | 1136.7,17.4 | 694.5,17.5 | 569.4
2022-08-08 10:09:00.156360,17.0 | 1083.5,16.9 | 1453.7,16.8 | 1501.2,16.7 | 222.3,16.6 | 463.3,17.1 | 362.8,17.2 | 1115.4,17.3 | 1134.7,17.4 | 697.5,17.5 | 569.4
2022-08-08 10:10:00.116088,17.0 | 1095.5,16.9 | 1452.7,16.8 | 1506.4,16.7 | 222.6,16.6 | 464.3,17.1 | 436.8,17.2 | 1118.5,17.3 | 1134.8,17.4 | 697.5,17.5 | 569.6
2022-08-08 10:11:00.057199,17.0 | 1102.8,16.9 | 1488.0,16.8 | 1523.3,16.7 | 223.7,16.6 | 464.8,17.1 | 639.9,17.2 | 1344.6,17.3 | 1084.8,17.4 | 697.5,17.5 | 569.6
2022-08-08 10:12:00.066511,17.0 | 1042.6,16.9 | 1488.3,16.8 | 1524.3,16.7 | 228.4,16.6 | 464.8,17.1 | 700.3,17.2 | 1464.4,17.3 | 1091.3,17.4 | 700.5,17.5 | 472.6
2022-08-08 10:13:00.055019,16.9 | 1509.5,16.8 | 1501.0,16.7 | 228.4,16.6 | 464.8,16.5 | 381.5,17.0 | 448.8,17.1 | 650.0,17.2 | 1466.4,17.3 | 1093.0,17.4 | 704.0
2022-08-08 10:14:00.057619,16.9 | 1430.0,16.8 | 1599.5,16.7 | 229.4,16.6 | 465.8,16.5 | 381.5,17.0 | 377.3,17.1 | 720.9,17.2 | 1297.1,17.3 | 1134.1,17.4 | 684.6
2022-08-08 10:15:00.062772,16.9 | 1411.1,16.8 | 1618.5,16.7 | 281.4,16.6 | 465.8,16.5 | 381.5,17.0 | 335.2,17.1 | 720.9,17.2 | 1297.1,17.3 | 1134.1,17.4 | 674.6
2022-08-08 10:16:00.073050,16.9 | 1404.0,16.8 | 1644.3,16.7 | 291.4,16.6 | 465.8,16.5 | 386.5,17.0 | 430.2,17.1 | 721.8,17.2 | 1317.4,17.3 | 1133.9,17.4 | 674.6
2022-08-08 10:17:00.059466,16.9 | 1443.7,16.8 | 1670.2,16.7 | 401.4,16.6 | 465.8,16.5 | 396.7,17.0 | 525.2,17.1 | 721.8,17.2 | 1220.9,17.3 | 1133.9,17.4 | 674.6
2022-08-08 10:18:00.057214,16.9 | 1490.1,16.8 | 1734.8,16.7 | 422.1,16.6 | 575.8,16.5 | 407.7,17.0 | 524.7,17.1 | 721.8,17.2 | 1192.3,17.3 | 1158.9,17.4 | 774.8
2022-08-08 10:19:00.054773,17.0 | 630.9,16.9 | 1431.7,16.8 | 1472.6,16.7 | 425.1,16.6 | 576.0,17.1 | 719.8,17.2 | 1193.4,17.3 | 1159.8,17.4 | 774.3,17.5 | 577.6
2022-08-08 10:20:00.064863,17.0 | 640.2,16.9 | 1417.0,16.8 | 1527.6,16.7 | 425.1,16.6 | 576.1,17.1 | 734.9,17.2 | 1176.4,17.3 | 1151.8,17.4 | 774.3,17.5 | 577.6
2022-08-08 10:21:00.067615,17.0 | 615.4,16.9 | 1362.3,16.8 | 1469.6,16.7 | 425.1,16.6 | 576.1,17.1 | 747.8,17.2 | 1170.4,17.3 | 1144.8,17.4 | 774.3,17.5 | 577.6
2022-08-08 10:22:00.060469,17.0 | 607.4,16.9 | 1362.3,16.8 | 1469.6,16.7 | 425.1,16.6 | 576.1,17.1 | 747.6,17.2 | 1173.4,17.3 | 1151.8,17.4 | 774.3,17.5 | 577.6
2022-08-08 10:23:00.056613,17.0 | 600.6,16.9 | 1372.9,16.8 | 1477.1,16.7 | 425.2,16.6 | 579.2,17.1 | 752.7,17.2 | 1174.5,17.3 | 1146.8,17.4 | 774.3,17.5 | 577.6
2022-08-08 10:24:00.063952,17.0 | 615.3,16.9 | 1376.6,16.8 | 1477.2,16.7 | 425.6,16.6 | 579.2,17.1 | 752.7,17.2 | 1174.5,17.3 | 1148.3,17.4 | 774.3,17.5 | 577.6
2022-08-08 10:25:00.064310,17.0 | 706.9,16.9 | 1380.0,16.8 | 1477.4,16.7 | 425.7,16.6 | 579.8,17.1 | 752.7,17.2 | 1174.5,17.3 | 1144.3,17.4 | 775.8,17.5 | 577.6
2022-08-08 10:26:00.064583,17.0 | 729.8,16.9 | 1381.0,16.8 | 1476.9,16.7 | 426.0,16.6 | 580.8,17.1 | 802.7,17.2 | 1174.7,17.3 | 1154.3,17.4 | 765.8,17.5 | 577.6
2022-08-08 10:27:00.056474,17.0 | 722.8,16.9 | 1394.3,16.8 | 1477.1,16.7 | 436.0,16.6 | 585.8,17.1 | 871.5,17.2 | 1174.7,17.3 | 1086.3,17.4 | 765.8,17.5 | 587.6
2022-08-08 10:28:00.122779,17.0 | 727.3,16.9 | 1457.3,16.8 | 1481.6,16.7 | 438.0,16.6 | 586.4,17.1 | 871.6,17.2 | 1169.7,17.3 | 1086.3,17.4 | 765.8,17.5 | 587.6
2022-08-08 10:29:00.087951,17.0 | 737.8,16.9 | 1471.0,16.8 | 1482.6,16.7 | 438.0,16.6 | 586.4,17.1 | 871.9,17.2 | 1189.7,17.3 | 1087.3,17.4 | 765.8,17.5 | 587.6
2022-08-08 10:30:00.062319,17.0 | 731.6,16.9 | 1457.9,16.8 | 1482.7,16.7 | 438.0,16.6 | 586.4,17.1 | 880.6,17.2 | 1190.7,17.3 | 1087.3,17.4 | 766.8,17.5 | 588.1
2022-08-08 10:31:00.061926,17.0 | 736.0,16.9 | 1458.0,16.8 | 1484.0,16.7 | 452.0,16.6 | 586.4,17.1 | 869.6,17.2 | 1190.7,17.3 | 1087.3,17.4 | 766.8,17.5 | 588.1
2022-08-08 10:32:00.061245,17.0 | 768.4,16.9 | 1459.0,16.8 | 1485.0,16.7 | 452.0,16.6 | 586.4,17.1 | 869.4,17.2 | 1200.7,17.3 | 1087.3,17.4 | 766.8,17.5 | 590.0
2022-08-08 10:33:00.070873,17.0 | 773.8,16.9 | 1459.5,16.8 | 1485.0,16.7 | 452.1,16.6 | 586.4,17.1 | 870.9,17.2 | 1200.7,17.3 | 1087.3,17.4 | 766.8,17.5 | 590.0
2022-08-08 10:34:00.064456,17.0 | 794.7,16.9 | 1459.7,16.8 | 1486.0,16.7 | 452.1,16.6 | 586.4,17.1 | 871.6,17.2 | 1200.7,17.3 | 1092.3,17.4 | 766.8,17.5 | 590.0
2022-08-08 10:35:00.070105,17.0 | 849.2,16.9 | 1473.1,16.8 | 1499.5,16.7 | 452.1,16.6 | 586.4,17.1 | 871.6,17.2 | 1200.7,17.3 | 1145.3,17.4 | 716.8,17.5 | 592.0
2022-08-08 10:36:00.060731,17.0 | 853.2,16.9 | 1473.0,16.8 | 1499.7,16.7 | 452.1,16.6 | 586.4,17.1 | 903.0,17.2 | 1230.7,17.3 | 1125.3,17.4 | 716.8,17.5 | 592.0
2022-08-08 10:37:00.067450,17.0 | 893.6,16.9 | 1502.6,16.8 | 1533.1,16.7 | 452.4,16.6 | 586.4,17.1 | 903.0,17.2 | 1230.7,17.3 | 1125.3,17.4 | 716.8,17.5 | 592.0
2022-08-08 10:38:00.050851,17.0 | 856.8,16.9 | 1502.4,16.8 | 1533.1,16.7 | 462.4,16.6 | 586.4,17.1 | 853.6,17.2 | 1230.8,17.3 | 1125.3,17.4 | 716.8,17.5 | 602.0
2022-08-08 10:39:00.064650,17.0 | 835.2,16.9 | 1508.3,16.8 | 1546.1,16.7 | 462.4,16.6 | 586.4,17.1 | 790.8,17.2 | 1230.8,17.3 | 1126.3,17.4 | 716.8,17.5 | 602.0
2022-08-08 10:40:00.065408,17.0 | 840.3,16.9 | 1508.4,16.8 | 1546.1,16.7 | 462.4,16.6 | 586.4,17.1 | 789.5,17.2 | 1235.3,17.3 | 1126.3,17.4 | 716.8,17.5 | 602.0
2022-08-08 10:41:00.064415,17.0 | 849.6,16.9 | 1510.4,16.8 | 1546.1,16.7 | 462.4,16.6 | 586.4,17.1 | 789.4,17.2 | 1240.3,17.3 | 1126.3,17.4 | 716.8,17.5 | 602.5
