date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-09-23 10:06:26.203592,17.3 | 944.2,17.2 | 1082.9,17.1 | 930.9,17.0 | 987.4,16.9 | 498.1,17.4 | 492.0,17.5 | 443.0,17.6 | 869.1,17.7 | 431.7,17.8 | 1226.3
2022-09-23 10:07:00.071655,17.3 | 995.3,17.2 | 1082.9,17.1 | 930.9,17.0 | 987.5,16.9 | 499.1,17.4 | 493.0,17.5 | 443.0,17.6 | 869.1,17.7 | 431.7,17.8 | 1226.3
2022-09-23 10:08:00.071146,17.3 | 996.9,17.2 | 1083.0,17.1 | 931.1,17.0 | 987.5,16.9 | 499.1,17.4 | 492.7,17.5 | 443.0,17.6 | 869.1,17.7 | 431.7,17.8 | 1226.3
2022-09-23 10:09:00.076075,17.3 | 996.5,17.2 | 1085.0,17.1 | 931.1,17.0 | 989.5,16.9 | 499.1,17.4 | 494.8,17.5 | 448.0,17.6 | 874.1,17.7 | 431.7,17.8 | 1226.3
2022-09-23 10:10:00.081610,17.3 | 997.0,17.2 | 1088.3,17.1 | 937.1,17.0 | 999.7,16.9 | 529.1,17.4 | 494.8,17.5 | 448.1,17.6 | 874.1,17.7 | 431.7,17.8 | 1226.3
2022-09-23 10:11:00.062606,17.3 | 997.0,17.2 | 1088.5,17.1 | 936.0,17.0 | 999.7,16.9 | 529.1,17.4 | 494.8,17.5 | 448.1,17.6 | 874.1,17.7 | 432.0,17.8 | 1226.3
2022-09-23 10:12:00.055284,17.3 | 998.2,17.2 | 1088.6,17.1 | 936.2,17.0 | 999.7,16.9 | 529.1,17.4 | 494.8,17.5 | 448.1,17.6 | 874.1,17.7 | 432.0,17.8 | 1256.3
2022-09-23 10:13:00.078989,17.3 | 1001.8,17.2 | 1090.6,17.1 | 938.7,17.0 | 1000.2,16.9 | 529.1,17.4 | 494.8,17.5 | 449.1,17.6 | 874.1,17.7 | 432.0,17.8 | 1255.3
2022-09-23 10:14:00.098157,17.3 | 1007.7,17.2 | 1091.2,17.1 | 939.0,17.0 | 1000.9,16.9 | 529.3,17.4 | 497.8,17.5 | 449.5,17.6 | 874.5,17.7 | 432.0,17.8 | 1257.8
2022-09-23 10:15:00.083629,17.3 | 1022.1,17.2 | 1091.1,17.1 | 940.0,17.0 | 1000.9,16.9 | 533.1,17.4 | 441.5,17.5 | 469.5,17.6 | 874.8,17.7 | 432.0,17.8 | 1257.8
2022-09-23 10:16:00.067390,17.3 | 1002.0,17.2 | 1092.6,17.1 | 940.0,17.0 | 1010.9,16.9 | 533.2,17.4 | 420.0,17.5 | 469.5,17.6 | 874.8,17.7 | 461.0,17.8 | 1257.8
2022-09-23 10:17:00.085777,17.3 | 864.1,17.2 | 1092.6,17.1 | 940.0,17.0 | 1013.0,16.9 | 533.2,17.4 | 522.4,17.5 | 469.5,17.6 | 874.8,17.7 | 461.0,17.8 | 1257.8
