date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-09-27 10:00:00.045521,16.7 | 383.4,16.6 | 1015.0,16.5 | 1126.5,16.4 | 1006.7,16.3 | 1159.5,16.8 | 452.7,16.9 | 321.5,17.0 | 516.1,17.1 | 272.6,17.2 | 306.5
2022-09-27 10:01:00.071954,16.7 | 394.5,16.6 | 1016.6,16.5 | 1125.9,16.4 | 1006.7,16.3 | 1159.5,16.8 | 454.1,16.9 | 321.5,17.0 | 516.2,17.1 | 272.8,17.2 | 356.5
2022-09-27 10:02:00.057872,16.7 | 600.0,16.6 | 1021.8,16.5 | 1105.1,16.4 | 1004.7,16.3 | 1159.4,16.8 | 408.2,16.9 | 321.5,17.0 | 546.6,17.1 | 293.3,17.2 | 356.6
2022-09-27 10:03:00.054729,16.7 | 610.3,16.6 | 1035.9,16.5 | 1114.3,16.4 | 1004.7,16.3 | 1160.6,16.8 | 421.3,16.9 | 322.5,17.0 | 546.6,17.1 | 292.3,17.2 | 356.6
2022-09-27 10:04:00.057626,16.7 | 394.5,16.6 | 1036.0,16.5 | 1188.1,16.4 | 1005.5,16.3 | 1160.6,16.8 | 458.5,16.9 | 317.5,17.0 | 556.3,17.1 | 292.3,17.2 | 356.6
2022-09-27 10:05:00.045685,16.7 | 395.6,16.6 | 1056.5,16.5 | 1190.0,16.4 | 1005.5,16.3 | 1168.0,16.8 | 460.6,16.9 | 317.5,17.0 | 556.3,17.1 | 293.3,17.2 | 356.6
2022-09-27 10:06:00.060789,16.7 | 398.6,16.6 | 1056.5,16.5 | 1238.7,16.4 | 1005.5,16.3 | 1168.5,16.8 | 456.6,16.9 | 317.5,17.0 | 558.3,17.1 | 293.3,17.2 | 354.6
2022-09-27 10:07:00.047089,16.7 | 395.7,16.6 | 1056.7,16.5 | 1243.9,16.4 | 1005.5,16.3 | 1170.0,16.8 | 460.3,16.9 | 317.5,17.0 | 556.3,17.1 | 295.3,17.2 | 354.6
2022-09-27 10:08:00.058125,16.7 | 575.4,16.6 | 1056.8,16.5 | 1335.9,16.4 | 1005.5,16.3 | 1170.0,16.8 | 439.1,16.9 | 317.5,17.0 | 556.3,17.1 | 296.3,17.2 | 354.6
2022-09-27 10:09:00.059545,16.7 | 578.4,16.6 | 1055.8,16.5 | 1285.9,16.4 | 1010.5,16.3 | 1181.5,16.8 | 456.1,16.9 | 317.5,17.0 | 556.3,17.1 | 296.3,17.2 | 454.6
2022-09-27 10:10:00.057401,16.7 | 588.5,16.6 | 1055.8,16.5 | 1276.9,16.4 | 1010.5,16.3 | 1181.5,16.8 | 470.8,16.9 | 272.8,17.0 | 556.3,17.1 | 296.3,17.2 | 454.6
2022-09-27 10:11:00.051622,16.7 | 588.5,16.6 | 1055.8,16.5 | 1300.1,16.4 | 1010.5,16.3 | 1183.5,16.8 | 542.6,16.9 | 272.8,17.0 | 546.3,17.1 | 296.3,17.2 | 454.6
2022-09-27 10:12:00.054311,16.7 | 610.0,16.6 | 1054.8,16.5 | 1301.6,16.4 | 1010.5,16.3 | 1183.4,16.8 | 511.5,16.9 | 272.9,17.0 | 546.3,17.1 | 299.3,17.2 | 454.6
2022-09-27 10:13:00.052012,16.7 | 634.5,16.6 | 1054.8,16.5 | 1303.7,16.4 | 1010.5,16.3 | 1184.5,16.8 | 580.1,16.9 | 272.9,17.0 | 546.3,17.1 | 299.3,17.2 | 454.7
2022-09-27 10:14:00.056275,16.7 | 636.0,16.6 | 1055.8,16.5 | 1307.9,16.4 | 1010.5,16.3 | 1194.5,16.8 | 580.7,16.9 | 273.1,17.0 | 551.3,17.1 | 299.3,17.2 | 454.7
2022-09-27 10:15:00.056536,16.7 | 634.0,16.6 | 1058.3,16.5 | 1308.0,16.4 | 1011.4,16.3 | 1194.6,16.8 | 545.2,16.9 | 273.1,17.0 | 551.3,17.1 | 299.3,17.2 | 454.7
2022-09-27 10:16:00.057016,16.7 | 632.6,16.6 | 1059.3,16.5 | 1309.0,16.4 | 1013.9,16.3 | 1195.6,16.8 | 579.7,16.9 | 273.1,17.0 | 551.3,17.1 | 300.3,17.2 | 454.7
2022-09-27 10:17:00.053312,16.7 | 672.2,16.6 | 1059.7,16.5 | 1311.5,16.4 | 1014.9,16.3 | 1195.6,16.8 | 545.8,16.9 | 273.2,17.0 | 556.3,17.1 | 300.3,17.2 | 454.7
2022-09-27 10:18:00.052875,16.7 | 681.0,16.6 | 1067.9,16.5 | 1313.1,16.4 | 1014.9,16.3 | 1195.6,16.8 | 583.7,16.9 | 273.2,17.0 | 556.3,17.1 | 300.3,17.2 | 454.7
2022-09-27 10:19:00.054832,16.7 | 681.3,16.6 | 1068.4,16.5 | 1313.3,16.4 | 1014.9,16.3 | 1195.6,16.8 | 543.0,16.9 | 274.2,17.0 | 556.3,17.1 | 300.3,17.2 | 456.0
2022-09-27 10:20:00.061178,16.7 | 682.4,16.6 | 1071.4,16.5 | 1313.3,16.4 | 1018.9,16.3 | 1197.6,16.8 | 657.2,16.9 | 275.2,17.0 | 556.3,17.1 | 300.3,17.2 | 456.0
2022-09-27 10:21:00.071618,16.7 | 681.7,16.6 | 1068.4,16.5 | 1313.5,16.4 | 1021.9,16.3 | 1197.7,16.8 | 652.8,16.9 | 275.2,17.0 | 556.6,17.1 | 300.3,17.2 | 456.0
2022-09-27 10:22:00.065059,16.7 | 687.4,16.6 | 1073.4,16.5 | 1319.1,16.4 | 1021.9,16.3 | 1197.7,16.8 | 606.9,16.9 | 275.2,17.0 | 556.6,17.1 | 300.3,17.2 | 456.0
