date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-08-02 10:37:29.189841,17.3 | 1920.4,17.2 | 1209.1,17.1 | 1189.1,17.0 | 1396.3,16.9 | 550.9,17.4 | 1926.3,17.5 | 1772.2,17.6 | 957.9,17.7 | 472.6,17.8 | 941.2
2022-08-02 10:38:00.065519,17.3 | 1921.0,17.2 | 1198.1,17.1 | 1189.1,17.0 | 1396.4,16.9 | 550.9,17.4 | 1937.4,17.5 | 1775.0,17.6 | 964.4,17.7 | 472.7,17.8 | 942.2
2022-08-02 10:39:00.052697,17.3 | 1917.3,17.2 | 1206.5,17.1 | 1215.1,17.0 | 1405.1,16.9 | 550.9,17.4 | 2068.2,17.5 | 1760.3,17.6 | 1124.6,17.7 | 474.6,17.8 | 945.2
2022-08-02 10:40:00.126204,17.3 | 1896.8,17.2 | 1216.6,17.1 | 1225.8,17.0 | 1413.1,16.9 | 1465.9,17.4 | 2192.0,17.5 | 1761.6,17.6 | 1125.0,17.7 | 475.7,17.8 | 945.2
2022-08-02 10:41:00.131745,17.3 | 1972.5,17.2 | 1245.5,17.1 | 1325.8,17.0 | 1418.1,16.9 | 1465.9,17.4 | 2066.2,17.5 | 1957.1,17.6 | 1063.1,17.7 | 475.8,17.8 | 1045.2
2022-08-02 10:42:00.058971,17.3 | 1970.1,17.2 | 1192.0,17.1 | 1356.8,17.0 | 1523.1,16.9 | 1490.9,17.4 | 2048.1,17.5 | 1935.1,17.6 | 1064.1,17.7 | 475.0,17.8 | 1046.3
2022-08-02 10:43:00.055070,17.3 | 1974.4,17.2 | 1192.8,17.1 | 1357.8,17.0 | 1555.3,16.9 | 590.7,17.4 | 2051.9,17.5 | 1940.1,17.6 | 1069.2,17.7 | 477.0,17.8 | 1046.4
2022-08-02 10:44:00.058970,17.3 | 1953.4,17.2 | 1202.6,17.1 | 1357.8,17.0 | 1561.3,16.9 | 604.2,17.4 | 2128.0,17.5 | 2020.1,17.6 | 1216.2,17.7 | 478.2,17.8 | 1047.8
2022-08-02 10:45:00.063484,17.3 | 1871.7,17.2 | 1178.0,17.1 | 1291.0,17.0 | 1558.3,16.9 | 604.2,17.4 | 2130.5,17.5 | 2019.7,17.6 | 1220.2,17.7 | 482.2,17.8 | 1061.8
2022-08-02 10:46:00.059032,17.3 | 1828.1,17.2 | 1167.5,17.1 | 1303.0,17.0 | 1563.0,16.9 | 619.2,17.4 | 2139.1,17.5 | 2022.7,17.6 | 1200.2,17.7 | 488.2,17.8 | 1013.8
2022-08-02 10:47:00.080226,17.2 | 1050.6,17.1 | 1289.7,17.0 | 1563.5,16.9 | 619.2,16.8 | 908.0,17.3 | 1842.0,17.4 | 2190.5,17.5 | 1965.5,17.6 | 1154.0,17.7 | 565.3
2022-08-02 10:48:00.067662,17.2 | 373.5,17.1 | 1433.6,17.0 | 1569.6,16.9 | 658.1,16.8 | 915.0,17.3 | 1905.1,17.4 | 1605.4,17.5 | 1455.4,17.6 | 1152.1,17.7 | 563.3
2022-08-02 10:49:00.056610,17.2 | 918.3,17.1 | 1345.7,17.0 | 1686.5,16.9 | 660.1,16.8 | 922.1,17.3 | 1888.7,17.4 | 1669.4,17.5 | 1709.8,17.6 | 1241.1,17.7 | 563.3
2022-08-02 10:50:00.056632,17.2 | 864.2,17.1 | 1427.0,17.0 | 1691.8,16.9 | 660.1,16.8 | 925.3,17.3 | 2005.6,17.4 | 1628.8,17.5 | 1709.8,17.6 | 1243.4,17.7 | 563.3
2022-08-02 10:51:00.074028,17.2 | 756.9,17.1 | 1437.0,17.0 | 1695.7,16.9 | 661.1,16.8 | 925.3,17.3 | 2073.4,17.4 | 1638.2,17.5 | 1709.9,17.6 | 1243.5,17.7 | 563.3
2022-08-02 10:52:00.065927,17.2 | 752.4,17.1 | 1447.0,17.0 | 1713.2,16.9 | 661.1,16.8 | 921.3,17.3 | 2052.4,17.4 | 1615.8,17.5 | 1712.9,17.6 | 1244.5,17.7 | 566.3
2022-08-02 10:53:00.056018,17.2 | 722.9,17.1 | 1447.1,17.0 | 1721.7,16.9 | 701.1,16.8 | 931.5,17.3 | 2051.8,17.4 | 1628.4,17.5 | 1712.9,17.6 | 1244.5,17.7 | 566.3
2022-08-02 10:54:00.055947,17.2 | 738.2,17.1 | 1449.1,17.0 | 1718.7,16.9 | 701.1,16.8 | 931.6,17.3 | 2103.0,17.4 | 1608.2,17.5 | 1729.4,17.6 | 1156.5,17.7 | 566.3
2022-08-02 10:55:00.058697,17.2 | 795.6,17.1 | 1453.1,17.0 | 1718.8,16.9 | 711.2,16.8 | 943.2,17.3 | 2117.0,17.4 | 1610.6,17.5 | 1730.0,17.6 | 1155.5,17.7 | 566.3
2022-08-02 10:56:00.057895,17.2 | 792.1,17.1 | 1453.2,17.0 | 1728.1,16.9 | 716.2,16.8 | 949.7,17.3 | 2182.1,17.4 | 1660.6,17.5 | 1776.3,17.6 | 1156.5,17.7 | 566.3
2022-08-02 10:57:00.075896,17.2 | 944.2,17.1 | 1455.4,17.0 | 1719.2,16.9 | 716.2,16.8 | 949.8,17.3 | 2196.6,17.4 | 1654.6,17.5 | 1777.3,17.6 | 1156.6,17.7 | 565.3
2022-08-02 10:58:00.063636,17.2 | 972.0,17.1 | 1454.4,17.0 | 1727.7,16.9 | 722.4,16.8 | 947.8,17.3 | 2195.2,17.4 | 1656.4,17.5 | 1777.3,17.6 | 1177.3,17.7 | 565.3
2022-08-02 10:59:00.051159,17.2 | 1116.3,17.1 | 1456.0,17.0 | 1720.2,16.9 | 722.2,16.8 | 958.8,17.3 | 2196.6,17.4 | 1658.4,17.5 | 1777.3,17.6 | 1177.1,17.7 | 565.3
2022-08-02 11:00:00.065364,17.2 | 1032.7,17.1 | 1445.8,17.0 | 1734.1,16.9 | 687.0,16.8 | 961.8,17.3 | 2192.4,17.4 | 1636.4,17.5 | 1743.1,17.6 | 1177.8,17.7 | 566.3
2022-08-02 11:01:00.066191,17.2 | 1000.1,17.1 | 1445.9,17.0 | 1717.3,16.9 | 687.0,16.8 | 963.8,17.3 | 2210.7,17.4 | 1664.9,17.5 | 1724.2,17.6 | 1185.8,17.7 | 566.3
2022-08-02 11:02:00.062293,17.2 | 1157.2,17.1 | 1444.9,17.0 | 1740.6,16.9 | 687.0,16.8 | 963.8,17.3 | 2111.8,17.4 | 1634.2,17.5 | 1724.2,17.6 | 1185.8,17.7 | 601.3
2022-08-02 11:03:00.077207,17.2 | 1047.0,17.1 | 1445.9,17.0 | 1718.7,16.9 | 688.0,16.8 | 963.8,17.3 | 1979.8,17.4 | 1624.9,17.5 | 1714.9,17.6 | 1185.8,17.7 | 602.2
2022-08-02 11:04:00.068274,17.2 | 1061.3,17.1 | 1445.9,17.0 | 1721.8,16.9 | 688.2,16.8 | 963.7,17.3 | 2101.7,17.4 | 1637.2,17.5 | 1720.5,17.6 | 1187.4,17.7 | 602.2
2022-08-02 11:05:00.066084,17.2 | 1078.6,17.1 | 1446.9,17.0 | 1729.7,16.9 | 688.2,16.8 | 974.7,17.3 | 2098.6,17.4 | 1638.7,17.5 | 1720.5,17.6 | 1187.4,17.7 | 602.2
