date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-09-26 10:00:00.035558,16.8 | 520.7,16.7 | 763.3,16.6 | 558.3,16.5 | 770.6,16.4 | 450.7,16.9 | 514.2,17.0 | 538.6,17.1 | 449.9,17.2 | 449.9,17.3 | 631.3
2022-09-26 10:01:00.081773,16.8 | 562.8,16.7 | 824.8,16.6 | 659.5,16.5 | 775.7,16.4 | 450.8,16.9 | 489.8,17.0 | 538.8,17.1 | 450.9,17.2 | 449.9,17.3 | 631.3
2022-09-26 10:02:00.071382,16.8 | 608.5,16.7 | 873.7,16.6 | 660.6,16.5 | 782.9,16.4 | 452.5,16.9 | 485.5,17.0 | 538.9,17.1 | 451.0,17.2 | 449.9,17.3 | 631.3
2022-09-26 10:03:00.058188,16.8 | 875.6,16.7 | 846.7,16.6 | 700.4,16.5 | 790.3,16.4 | 452.6,16.9 | 423.7,17.0 | 538.9,17.1 | 461.0,17.2 | 450.0,17.3 | 631.3
2022-09-26 10:04:00.043393,16.8 | 873.9,16.7 | 848.2,16.6 | 700.7,16.5 | 795.6,16.4 | 455.6,16.9 | 497.3,17.0 | 559.5,17.1 | 451.0,17.2 | 450.0,17.3 | 631.3
2022-09-26 10:05:00.063178,16.8 | 782.7,16.7 | 851.4,16.6 | 704.2,16.5 | 798.0,16.4 | 455.6,16.9 | 475.0,17.0 | 559.6,17.1 | 469.6,17.2 | 450.0,17.3 | 631.3
2022-09-26 10:06:00.068128,16.8 | 758.3,16.7 | 815.9,16.6 | 661.0,16.5 | 802.0,16.4 | 458.1,16.9 | 474.2,17.0 | 559.6,17.1 | 469.6,17.2 | 450.5,17.3 | 677.3
2022-09-26 10:07:00.063300,16.8 | 760.4,16.7 | 817.9,16.6 | 661.0,16.5 | 802.6,16.4 | 459.6,16.9 | 432.6,17.0 | 594.8,17.1 | 469.6,17.2 | 450.5,17.3 | 677.3
2022-09-26 10:08:00.048880,16.9 | 230.4,16.8 | 827.0,16.7 | 810.4,16.6 | 661.0,16.5 | 808.7,17.0 | 578.5,17.1 | 511.8,17.2 | 477.8,17.3 | 677.3,17.4 | 653.1
2022-09-26 10:09:00.062111,16.9 | 296.9,16.8 | 808.2,16.7 | 842.5,16.6 | 722.3,16.5 | 818.6,17.0 | 579.2,17.1 | 512.5,17.2 | 489.6,17.3 | 675.3,17.4 | 653.1
2022-09-26 10:10:00.071073,16.9 | 410.6,16.8 | 856.8,16.7 | 853.4,16.6 | 721.6,16.5 | 822.9,17.0 | 1020.3,17.1 | 508.2,17.2 | 468.3,17.3 | 695.3,17.4 | 653.1
