date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-09-15 10:00:00.120582,17.9 | 1351.9,17.8 | 1625.0,17.7 | 922.9,17.6 | 712.6,17.5 | 587.7,18.0 | 415.3,18.1 | 570.4,18.2 | 1079.4,18.3 | 712.6,18.4 | 986.0
2022-09-15 10:01:00.141624,17.9 | 1353.5,17.8 | 1626.4,17.7 | 927.1,17.6 | 713.6,17.5 | 587.7,18.0 | 422.4,18.1 | 570.4,18.2 | 1081.4,18.3 | 712.6,18.4 | 986.0
2022-09-15 10:02:00.071641,17.9 | 1396.7,17.8 | 1613.6,17.7 | 930.1,17.6 | 718.6,17.5 | 587.8,18.0 | 733.5,18.1 | 570.4,18.2 | 1018.1,18.3 | 717.6,18.4 | 999.0
2022-09-15 10:03:00.065485,17.9 | 1388.1,17.8 | 1617.6,17.7 | 937.7,17.6 | 722.0,17.5 | 587.8,18.0 | 740.0,18.1 | 592.6,18.2 | 1016.7,18.3 | 722.6,18.4 | 999.0
2022-09-15 10:04:00.062457,17.9 | 1392.1,17.8 | 1611.2,17.7 | 939.7,17.6 | 722.0,17.5 | 589.8,18.0 | 758.2,18.1 | 592.6,18.2 | 1018.7,18.3 | 722.6,18.4 | 999.0
2022-09-15 10:05:00.084468,17.9 | 1281.9,17.8 | 1612.4,17.7 | 948.3,17.6 | 723.0,17.5 | 594.8,18.0 | 807.2,18.1 | 591.6,18.2 | 1015.2,18.3 | 714.6,18.4 | 999.0
2022-09-15 10:06:00.101583,17.9 | 1256.1,17.8 | 1617.0,17.7 | 968.7,17.6 | 723.3,17.5 | 594.8,18.0 | 848.5,18.1 | 620.1,18.2 | 1082.8,18.3 | 706.4,18.4 | 999.0
2022-09-15 10:07:00.073266,17.9 | 1256.6,17.8 | 1619.9,17.7 | 973.7,17.6 | 725.3,17.5 | 596.4,18.0 | 853.5,18.1 | 615.6,18.2 | 1082.3,18.3 | 706.4,18.4 | 999.0
2022-09-15 10:08:00.085888,17.9 | 1241.4,17.8 | 1665.4,17.7 | 999.7,17.6 | 730.3,17.5 | 596.4,18.0 | 853.7,18.1 | 615.6,18.2 | 1082.4,18.3 | 706.4,18.4 | 999.0
2022-09-15 10:09:00.102108,17.9 | 1246.3,17.8 | 1691.1,17.7 | 1034.9,17.6 | 770.3,17.5 | 636.4,18.0 | 1015.5,18.1 | 710.5,18.2 | 1032.9,18.3 | 706.4,18.4 | 999.0
2022-09-15 10:10:00.066086,17.9 | 1257.5,17.8 | 1695.3,17.7 | 1046.4,17.6 | 770.3,17.5 | 636.4,18.0 | 1022.5,18.1 | 710.5,18.2 | 1030.4,18.3 | 706.4,18.4 | 999.0
2022-09-15 10:11:00.058543,17.9 | 1262.3,17.8 | 1701.0,17.7 | 1049.4,17.6 | 770.3,17.5 | 636.5,18.0 | 1022.8,18.1 | 710.5,18.2 | 1034.5,18.3 | 706.9,18.4 | 999.0
2022-09-15 10:12:00.073480,17.9 | 1395.6,17.8 | 1684.7,17.7 | 1051.0,17.6 | 770.5,17.5 | 636.5,18.0 | 1024.3,18.1 | 708.5,18.2 | 1034.9,18.3 | 706.9,18.4 | 999.0
2022-09-15 10:13:00.065990,17.9 | 1281.7,17.8 | 1682.2,17.7 | 1054.3,17.6 | 770.5,17.5 | 637.0,18.0 | 1108.8,18.1 | 708.9,18.2 | 1034.5,18.3 | 706.9,18.4 | 999.0
2022-09-15 10:14:00.060541,17.9 | 1289.7,17.8 | 1685.0,17.7 | 1058.6,17.6 | 773.5,17.5 | 638.1,18.0 | 1124.7,18.1 | 708.5,18.2 | 1034.7,18.3 | 706.9,18.4 | 999.0
2022-09-15 10:15:00.063999,17.9 | 1046.1,17.8 | 1685.3,17.7 | 1058.0,17.6 | 773.5,17.5 | 638.1,18.0 | 1294.1,18.1 | 698.8,18.2 | 1012.9,18.3 | 706.9,18.4 | 999.0
2022-09-15 10:16:00.083266,17.9 | 1031.4,17.8 | 1695.8,17.7 | 1068.0,17.6 | 773.5,17.5 | 638.6,18.0 | 1297.3,18.1 | 695.5,18.2 | 1020.1,18.3 | 707.6,18.4 | 999.5
2022-09-15 10:17:00.088036,17.9 | 986.0,17.8 | 1731.7,17.7 | 1069.5,17.6 | 773.5,17.5 | 639.6,18.0 | 1297.3,18.1 | 695.5,18.2 | 1020.1,18.3 | 707.6,18.4 | 999.5
