date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-07-27 10:00:00.049351,16.7 | 898.3,16.6 | 644.8,16.5 | 563.1,16.4 | 441.4,16.3 | 427.4,16.8 | 215.9,16.9 | 488.9,17.0 | 653.8,17.1 | 437.7,17.2 | 372.9
2022-07-27 10:01:00.071351,16.7 | 923.7,16.6 | 624.9,16.5 | 576.2,16.4 | 451.5,16.3 | 428.4,16.8 | 287.0,16.9 | 461.9,17.0 | 668.8,17.1 | 540.0,17.2 | 377.9
2022-07-27 10:02:00.058168,16.7 | 952.2,16.6 | 622.0,16.5 | 579.2,16.4 | 448.5,16.3 | 428.4,16.8 | 344.0,16.9 | 461.9,17.0 | 669.1,17.1 | 651.8,17.2 | 388.9
2022-07-27 10:03:00.046388,16.7 | 862.5,16.6 | 622.1,16.5 | 583.8,16.4 | 469.6,16.3 | 428.6,16.8 | 391.3,16.9 | 461.9,17.0 | 672.1,17.1 | 655.0,17.2 | 388.9
2022-07-27 10:04:00.053982,16.6 | 679.5,16.5 | 585.8,16.4 | 474.6,16.3 | 431.6,16.2 | 290.7,16.7 | 681.6,16.8 | 532.6,16.9 | 398.0,17.0 | 635.0,17.1 | 655.0
2022-07-27 10:05:00.062248,16.6 | 263.9,16.5 | 819.3,16.4 | 603.1,16.3 | 447.2,16.2 | 323.0,16.7 | 570.6,16.8 | 556.6,16.9 | 341.4,17.0 | 639.0,17.1 | 655.0
2022-07-27 10:06:00.056849,16.6 | 535.7,16.5 | 913.8,16.4 | 613.8,16.3 | 453.1,16.2 | 336.3,16.7 | 449.9,16.8 | 553.8,16.9 | 363.6,17.0 | 643.8,17.1 | 656.0
2022-07-27 10:07:00.058897,16.6 | 644.1,16.5 | 961.9,16.4 | 616.6,16.3 | 456.5,16.2 | 351.1,16.7 | 214.1,16.8 | 590.8,16.9 | 361.2,17.0 | 646.3,17.1 | 708.0
2022-07-27 10:08:00.079629,16.6 | 751.7,16.5 | 1074.3,16.4 | 629.1,16.3 | 463.7,16.2 | 353.0,16.7 | 287.8,16.8 | 590.0,16.9 | 384.0,17.0 | 647.8,17.1 | 709.0
2022-07-27 10:09:00.077130,16.6 | 735.5,16.5 | 1055.8,16.4 | 719.5,16.3 | 471.8,16.2 | 376.0,16.7 | 410.1,16.8 | 581.5,16.9 | 484.6,17.0 | 649.8,17.1 | 739.5
2022-07-27 10:10:00.224972,16.6 | 761.4,16.5 | 1121.9,16.4 | 658.5,16.3 | 468.9,16.2 | 376.0,16.7 | 435.4,16.8 | 543.4,16.9 | 484.6,17.0 | 649.8,17.1 | 752.5
2022-07-27 10:11:00.209985,16.6 | 709.6,16.5 | 1149.5,16.4 | 659.5,16.3 | 470.5,16.2 | 375.3,16.7 | 414.3,16.8 | 543.2,16.9 | 484.6,17.0 | 649.8,17.1 | 752.5
2022-07-27 10:12:00.058511,16.6 | 837.6,16.5 | 1187.0,16.4 | 663.8,16.3 | 470.8,16.2 | 377.4,16.7 | 412.3,16.8 | 543.2,16.9 | 484.6,17.0 | 650.8,17.1 | 752.5
2022-07-27 10:13:00.047820,16.6 | 846.4,16.5 | 1203.7,16.4 | 664.9,16.3 | 491.1,16.2 | 378.5,16.7 | 414.3,16.8 | 580.9,16.9 | 484.6,17.0 | 650.8,17.1 | 752.5
2022-07-27 10:14:00.054458,16.6 | 858.2,16.5 | 1196.3,16.4 | 675.4,16.3 | 491.1,16.2 | 380.5,16.7 | 416.2,16.8 | 580.9,16.9 | 484.6,17.0 | 649.8,17.1 | 760.6
2022-07-27 10:15:00.059027,16.6 | 894.4,16.5 | 1210.7,16.4 | 680.4,16.3 | 491.9,16.2 | 380.5,16.7 | 395.8,16.8 | 579.9,16.9 | 484.6,17.0 | 649.9,17.1 | 760.6
2022-07-27 10:16:00.056834,16.6 | 911.6,16.5 | 1209.5,16.4 | 683.4,16.3 | 496.9,16.2 | 380.8,16.7 | 379.0,16.8 | 599.6,16.9 | 485.1,17.0 | 669.9,17.1 | 760.6
2022-07-27 10:17:00.057308,16.6 | 943.7,16.5 | 1221.5,16.4 | 684.4,16.3 | 487.1,16.2 | 390.9,16.7 | 352.2,16.8 | 583.9,16.9 | 487.6,17.0 | 669.9,17.1 | 760.6
2022-07-27 10:18:00.054460,16.6 | 932.4,16.5 | 1242.7,16.4 | 685.6,16.3 | 487.3,16.2 | 391.2,16.7 | 384.4,16.8 | 547.2,16.9 | 487.6,17.0 | 669.9,17.1 | 760.6
2022-07-27 10:19:00.055286,16.6 | 947.1,16.5 | 1249.4,16.4 | 694.1,16.3 | 493.3,16.2 | 392.2,16.7 | 373.6,16.8 | 547.2,16.9 | 490.6,17.0 | 669.9,17.1 | 760.6
2022-07-27 10:20:00.058747,16.6 | 965.5,16.5 | 1262.5,16.4 | 706.2,16.3 | 493.3,16.2 | 393.2,16.7 | 494.8,16.8 | 546.2,16.9 | 490.6,17.0 | 669.9,17.1 | 760.9
2022-07-27 10:21:00.090782,16.6 | 886.1,16.5 | 1274.8,16.4 | 708.2,16.3 | 494.3,16.2 | 402.2,16.7 | 494.5,16.8 | 546.2,16.9 | 490.6,17.0 | 670.9,17.1 | 763.9
2022-07-27 10:22:00.093324,16.6 | 932.2,16.5 | 1277.6,16.4 | 709.7,16.3 | 495.3,16.2 | 402.3,16.7 | 508.2,16.8 | 545.8,16.9 | 490.6,17.0 | 671.8,17.1 | 764.9
