date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-08-11 10:00:00.045733,17.4 | 419.5,17.3 | 861.6,17.2 | 1012.0,17.1 | 878.0,17.0 | 938.5,17.5 | 855.1,17.6 | 957.8,17.7 | 1058.1,17.8 | 2645.1,17.9 | 1214.2
2022-08-11 10:01:00.074905,17.4 | 420.7,17.3 | 859.4,17.2 | 1011.8,17.1 | 878.0,17.0 | 938.5,17.5 | 853.3,17.6 | 957.8,17.7 | 1058.1,17.8 | 2647.1,17.9 | 1215.7
2022-08-11 10:02:00.057574,17.4 | 438.1,17.3 | 859.5,17.2 | 1011.8,17.1 | 878.4,17.0 | 940.9,17.5 | 829.1,17.6 | 1018.3,17.7 | 1061.1,17.8 | 2589.6,17.9 | 1215.7
2022-08-11 10:03:00.053170,17.4 | 432.8,17.3 | 860.6,17.2 | 1011.8,17.1 | 878.5,17.0 | 940.9,17.5 | 901.8,17.6 | 1066.1,17.7 | 1059.3,17.8 | 2589.6,17.9 | 1215.7
2022-08-11 10:04:00.050628,17.4 | 433.3,17.3 | 871.6,17.2 | 1012.9,17.1 | 878.5,17.0 | 941.2,17.5 | 917.3,17.6 | 1066.2,17.7 | 1047.4,17.8 | 2589.6,17.9 | 1215.7
2022-08-11 10:05:00.060249,17.4 | 431.3,17.3 | 871.6,17.2 | 1012.9,17.1 | 878.5,17.0 | 941.2,17.5 | 947.6,17.6 | 1071.4,17.7 | 1047.8,17.8 | 2591.7,17.9 | 1215.7
2022-08-11 10:06:00.053909,17.4 | 428.2,17.3 | 902.6,17.2 | 1011.9,17.1 | 878.5,17.0 | 951.2,17.5 | 957.6,17.6 | 1102.9,17.7 | 1047.8,17.8 | 2591.7,17.9 | 1225.7
2022-08-11 10:07:00.055114,17.4 | 427.0,17.3 | 922.6,17.2 | 1017.0,17.1 | 879.5,17.0 | 951.6,17.5 | 963.7,17.6 | 1103.9,17.7 | 1169.8,17.8 | 2593.6,17.9 | 1229.2
2022-08-11 10:08:00.065652,17.4 | 427.2,17.3 | 926.6,17.2 | 1019.1,17.1 | 879.6,17.0 | 951.6,17.5 | 1006.7,17.6 | 1101.9,17.7 | 1170.8,17.8 | 2593.6,17.9 | 1230.2
2022-08-11 10:09:00.062399,17.4 | 423.6,17.3 | 924.7,17.2 | 1017.5,17.1 | 879.6,17.0 | 951.6,17.5 | 1020.7,17.6 | 1103.3,17.7 | 1171.4,17.8 | 2593.7,17.9 | 1230.2
2022-08-11 10:10:00.063338,17.4 | 717.5,17.3 | 927.2,17.2 | 1018.7,17.1 | 879.6,17.0 | 981.6,17.5 | 1060.7,17.6 | 1103.3,17.7 | 1171.7,17.8 | 2597.6,17.9 | 1230.2
2022-08-11 10:11:00.066643,17.4 | 717.2,17.3 | 924.2,17.2 | 1018.7,17.1 | 879.6,17.0 | 982.2,17.5 | 1078.5,17.6 | 1103.1,17.7 | 1181.8,17.8 | 2603.2,17.9 | 1230.3
2022-08-11 10:12:00.141443,17.4 | 616.3,17.3 | 924.2,17.2 | 1020.2,17.1 | 879.6,17.0 | 982.7,17.5 | 1087.7,17.6 | 1103.8,17.7 | 1181.8,17.8 | 2615.3,17.9 | 1240.3
2022-08-11 10:13:00.288658,17.4 | 634.8,17.3 | 923.3,17.2 | 1020.2,17.1 | 879.7,17.0 | 982.7,17.5 | 1073.5,17.6 | 1119.2,17.7 | 1183.6,17.8 | 2633.3,17.9 | 1242.3
2022-08-11 10:14:00.200489,17.4 | 616.7,17.3 | 923.1,17.2 | 1020.5,17.1 | 879.7,17.0 | 982.7,17.5 | 1074.2,17.6 | 1129.6,17.7 | 1185.0,17.8 | 2633.4,17.9 | 1242.3
2022-08-11 10:15:00.054236,17.4 | 611.8,17.3 | 943.2,17.2 | 1021.0,17.1 | 879.7,17.0 | 982.7,17.5 | 1096.4,17.6 | 1129.6,17.7 | 1197.5,17.8 | 2647.4,17.9 | 1242.4
2022-08-11 10:16:00.060579,17.4 | 495.7,17.3 | 943.1,17.2 | 1021.0,17.1 | 879.7,17.0 | 982.7,17.5 | 1196.8,17.6 | 1129.6,17.7 | 1197.6,17.8 | 2647.4,17.9 | 1242.4
2022-08-11 10:17:00.075810,17.4 | 494.6,17.3 | 944.6,17.2 | 1021.0,17.1 | 879.7,17.0 | 982.7,17.5 | 1234.8,17.6 | 1127.2,17.7 | 1212.8,17.8 | 2657.4,17.9 | 1242.4
2022-08-11 10:18:00.107989,17.4 | 504.3,17.3 | 944.6,17.2 | 1039.1,17.1 | 879.7,17.0 | 982.7,17.5 | 1248.9,17.6 | 1137.4,17.7 | 1223.8,17.8 | 2657.6,17.9 | 1242.4
2022-08-11 10:19:00.165912,17.4 | 502.6,17.3 | 955.7,17.2 | 1039.2,17.1 | 887.8,17.0 | 982.9,17.5 | 1264.0,17.6 | 1133.7,17.7 | 1223.8,17.8 | 2657.6,17.9 | 1242.9
2022-08-11 10:20:00.100338,17.3 | 958.8,17.2 | 1039.2,17.1 | 909.1,17.0 | 982.9,16.9 | 648.7,17.4 | 536.1,17.5 | 1205.1,17.6 | 1183.8,17.7 | 1340.8,17.8 | 2657.6
2022-08-11 10:21:00.064106,17.3 | 957.8,17.2 | 1028.8,17.1 | 923.2,17.0 | 992.9,16.9 | 648.7,17.4 | 642.0,17.5 | 1129.0,17.6 | 1173.7,17.7 | 1409.2,17.8 | 2657.7
2022-08-11 10:22:00.110923,17.3 | 957.8,17.2 | 1028.3,17.1 | 923.3,17.0 | 1028.6,16.9 | 583.7,17.4 | 637.3,17.5 | 1125.8,17.6 | 1258.8,17.7 | 1409.2,17.8 | 2649.7
2022-08-11 10:23:00.080316,17.3 | 958.3,17.2 | 1028.3,17.1 | 923.2,17.0 | 1028.7,16.9 | 583.7,17.4 | 737.0,17.5 | 1025.2,17.6 | 1259.3,17.7 | 1409.2,17.8 | 2659.7
