date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-08-10 10:00:00.052076,17.4 | 1473.7,17.3 | 2198.1,17.2 | 650.3,17.1 | 756.3,17.0 | 798.4,17.5 | 348.9,17.6 | 450.0,17.7 | 1072.2,17.8 | 1495.4,17.9 | 1718.5
2022-08-10 10:01:00.088288,17.4 | 1453.2,17.3 | 2155.0,17.2 | 740.3,17.1 | 856.4,17.0 | 798.4,17.5 | 472.0,17.6 | 509.7,17.7 | 1061.5,17.8 | 1495.3,17.9 | 1722.7
2022-08-10 10:02:00.135639,17.4 | 1436.5,17.3 | 2155.1,17.2 | 763.3,17.1 | 838.6,17.0 | 798.4,17.5 | 665.3,17.6 | 612.9,17.7 | 1061.4,17.8 | 1435.8,17.9 | 1729.7
2022-08-10 10:03:00.109792,17.4 | 1430.3,17.3 | 2155.1,17.2 | 763.8,17.1 | 838.6,17.0 | 808.3,17.5 | 689.7,17.6 | 615.6,17.7 | 1072.5,17.8 | 1436.1,17.9 | 1730.2
2022-08-10 10:04:00.050322,17.4 | 1402.8,17.3 | 2158.6,17.2 | 781.8,17.1 | 838.6,17.0 | 809.8,17.5 | 696.4,17.6 | 617.3,17.7 | 1072.4,17.8 | 1435.1,17.9 | 1729.2
2022-08-10 10:05:00.053470,17.4 | 1328.5,17.3 | 2160.5,17.2 | 781.9,17.1 | 839.6,17.0 | 821.4,17.5 | 787.1,17.6 | 719.3,17.7 | 1072.4,17.8 | 1442.6,17.9 | 1730.2
2022-08-10 10:06:00.051634,17.4 | 1395.1,17.3 | 2230.5,17.2 | 796.9,17.1 | 940.6,17.0 | 818.5,17.5 | 778.1,17.6 | 748.1,17.7 | 1072.6,17.8 | 1467.3,17.9 | 1730.2
2022-08-10 10:07:00.062681,17.4 | 1321.3,17.3 | 2191.8,17.2 | 896.9,17.1 | 940.7,17.0 | 818.5,17.5 | 785.4,17.6 | 755.2,17.7 | 1073.0,17.8 | 1467.3,17.9 | 1730.2
2022-08-10 10:08:00.066308,17.4 | 1319.3,17.3 | 2194.1,17.2 | 896.9,17.1 | 950.6,17.0 | 824.9,17.5 | 781.7,17.6 | 853.1,17.7 | 1079.0,17.8 | 1468.3,17.9 | 1730.2
2022-08-10 10:09:00.051242,17.4 | 1424.5,17.3 | 2194.1,17.2 | 898.2,17.1 | 950.6,17.0 | 824.9,17.5 | 832.6,17.6 | 851.8,17.7 | 1079.2,17.8 | 1468.1,17.9 | 1730.2
2022-08-10 10:10:00.065520,17.4 | 1427.2,17.3 | 2198.3,17.2 | 896.7,17.1 | 955.6,17.0 | 826.9,17.5 | 835.6,17.6 | 852.2,17.7 | 1099.2,17.8 | 1480.1,17.9 | 1743.7
2022-08-10 10:11:00.066159,17.4 | 1408.7,17.3 | 2188.3,17.2 | 906.7,17.1 | 955.6,17.0 | 826.9,17.5 | 855.1,17.6 | 858.3,17.7 | 1102.2,17.8 | 1481.1,17.9 | 1743.7
2022-08-10 10:12:00.065644,17.4 | 1401.3,17.3 | 2186.3,17.2 | 910.0,17.1 | 955.6,17.0 | 826.9,17.5 | 867.1,17.6 | 857.8,17.7 | 1102.2,17.8 | 1481.1,17.9 | 1743.7
2022-08-10 10:13:00.063922,17.4 | 1427.6,17.3 | 2187.6,17.2 | 910.0,17.1 | 955.6,17.0 | 827.9,17.5 | 886.5,17.6 | 889.1,17.7 | 1103.3,17.8 | 1481.1,17.9 | 1743.7
2022-08-10 10:14:00.066775,17.4 | 1457.9,17.3 | 2192.8,17.2 | 912.4,17.1 | 956.0,17.0 | 834.9,17.5 | 922.1,17.6 | 890.4,17.7 | 1104.3,17.8 | 1481.1,17.9 | 1743.7
2022-08-10 10:15:00.046174,17.3 | 2352.1,17.2 | 913.9,17.1 | 956.0,17.0 | 834.9,16.9 | 998.5,17.4 | 667.9,17.5 | 868.0,17.6 | 856.5,17.7 | 1081.0,17.8 | 1591.2
2022-08-10 10:16:00.067724,17.3 | 1769.7,17.2 | 900.9,17.1 | 973.0,17.0 | 834.7,16.9 | 998.5,17.4 | 722.1,17.5 | 841.1,17.6 | 779.9,17.7 | 1077.8,17.8 | 1607.2
2022-08-10 10:17:00.067981,17.3 | 1743.5,17.2 | 1007.8,17.1 | 973.5,17.0 | 957.0,16.9 | 998.5,17.4 | 782.5,17.5 | 937.8,17.6 | 1379.7,17.7 | 978.4,17.8 | 1607.2
